Symbol,Company Name,Sector,Industry,Theme,Trade Date,Purchase Price,Quantity
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,,2026-09-09,0,0
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
ALTM,Arcadium Lithium plc,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
APD,Air Products and Chemicals Inc.,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
ARCH,Arch Resources Inc.,Basic Materials,Coking Coal,,2026-09-09,0,0
ASPI,ASP Isotopes Inc.,Basic Materials,Chemicals,,2026-09-09,0,0
BHP,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,,2026-09-09,0,0
BTG,B2Gold Corp.,Basic Materials,Gold,,2026-09-09,0,0
CLF,Cleveland-Cliffs Inc.,Basic Materials,Steel,,2026-09-09,0,0
CRH,CRH plc,Basic Materials,Building Materials,,2026-09-09,0,0
CTVA,Corteva Inc.,Basic Materials,Agricultural Inputs,,2026-09-09,0,0
DD,DuPont de Nemours Inc.,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
DNMR,Danimer Scientific Inc.,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
DOW,Dow Inc.,Basic Materials,Chemicals,,2026-09-09,0,0
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
EGO,Eldorado Gold Corporation,Basic Materials,Gold,,2026-09-09,0,0
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,,2026-09-09,0,0
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,,2026-09-09,0,0
FNV,Franco-Nevada Corporation,Basic Materials,Gold,,2026-09-09,0,0
GEVO,Gevo Inc.,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
GOLD,Barrick Mining Corp,Basic Materials,Gold,,2026-09-09,0,0
ICL,ICL Group Ltd.,Basic Materials,Agricultural Inputs,,2026-09-09,0,0
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
KGC,Kinross Gold Corporation,Basic Materials,Gold,,2026-09-09,0,0
LAC,Lithium Americas Corp.,Basic Materials,Other Industrial Metals & Mining,,2026-09-09,0,0
LIN,Linde plc,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,,2026-09-09,0,0
MP,MP Materials Corp.,Basic Materials,Other Industrial Metals & Mining,,2026-09-09,0,0
MT,ArcelorMittal SA,Basic Materials,Steel,,2026-09-09,0,0
NEM,Newmont Corporation,Basic Materials,Gold,,2026-09-09,0,0
NMG,Nouveau Monde Graphite Inc.,Basic Materials,Other Industrial Metals & Mining,,2026-09-09,0,0
NUE,Nucor Corporation,Basic Materials,Steel,,2026-09-09,0,0
PAAS,Pan American Silver Corp.,Basic Materials,Gold,,2026-09-09,0,0
RIO,Rio Tinto Group,Basic Materials,Other Industrial Metals & Mining,,2026-09-09,0,0
SBSW,Sibanye Stillwater Limited,Basic Materials,Other Precious Metals & Mining,,2026-09-09,0,0
SCCO,Southern Copper Corporation,Basic Materials,Copper,,2026-09-09,0,0
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
SQM,Sociedad QuÃ­mica y Minera de Chile S.A.,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
SSL,Sasol Limited,Basic Materials,Specialty Chemicals,,2026-09-09,0,0
TECK,Teck Resources Limited,Basic Materials,Other Industrial Metals & Mining,,2026-09-09,0,0
TMC,TMC the metals company Inc.,Basic Materials,Other Industrial Metals & Mining,,2026-09-09,0,0
VALE,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,,2026-09-09,0,0
WPM,Wheaton Precious Metals Corp.,Basic Materials,Gold,,2026-09-09,0,0
X,United States Steel Corporation,Basic Materials,Steel,,2026-09-09,0,0
BIDU,Baidu Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
BILI,Bilibili Inc.,Communication Services,Electronic Gaming & Multimedia,,2026-09-09,0,0
CHTR,Charter Communications Inc.,Communication Services,Telecom Services,,2026-09-09,0,0
CMCSA,Comcast Corporation,Communication Services,Telecom Services,,2026-09-09,0,0
CURI,CuriosityStream Inc.,Communication Services,Broadcasting,,2026-09-09,0,0
DASH,DoorDash Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
DIS,The Walt Disney Company,Communication Services,Entertainment,,2026-09-09,0,0
EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia,,2026-09-09,0,0
EDR,Endeavor Group Holdings Inc.,Communication Services,Entertainment,,2026-09-09,0,0
FOX,Fox Corporation Class B,Communication Services,Entertainment,,2026-09-09,0,0
FOXA,Fox Corporation Class A,Communication Services,Entertainment,,2026-09-09,0,0
FUBO,fuboTV Inc.,Communication Services,Broadcasting,,2026-09-09,0,0
FVRR,Fiverr International Ltd.,Communication Services,Internet Content & Information,,2026-09-09,0,0
GOOG,Alphabet Inc. Class C,Communication Services,Internet Content & Information,,2026-09-09,0,0
GOOGL,Alphabet Inc. Class A,Communication Services,Internet Content & Information,,2026-09-09,0,0
GRVY,Gravity Co. Ltd.,Communication Services,Electronic Gaming & Multimedia,,2026-09-09,0,0
HUYA,HUYA Inc.,Communication Services,Entertainment,,2026-09-09,0,0
IHS,IHS Holding Limited,Communication Services,Telecom Services,,2026-09-09,0,0
IQ,iQIYI Inc.,Communication Services,Entertainment,,2026-09-09,0,0
IRDM,Iridium Communications Inc.,Communication Services,Telecom Services,,2026-09-09,0,0
LBRDA,Liberty Broadband Corporation,Communication Services,Telecom Services,,2026-09-09,0,0
LBTYA,Liberty Global Ltd. Class A,Communication Services,Telecom Services,,2026-09-09,0,0
LBTYK,Liberty Global Ltd. Class C,Communication Services,Telecom Services,,2026-09-09,0,0
LUMN,Lumen Technologies Inc.,Communication Services,Telecom Services,,2026-09-09,0,0
LYV,Live Nation Entertainment Inc.,Communication Services,Entertainment,,2026-09-09,0,0
MANU,Manchester United plc,Communication Services,Entertainment,,2026-09-09,0,0
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
MGNI,Magnite Inc.,Communication Services,Advertising Agencies,,2026-09-09,0,0
MTCH,Match Group Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
NFLX,Netflix Inc,Communication Services,Entertainment,,2026-09-09,0,0
NTES,NetEase Inc.,Communication Services,Electronic Gaming & Multimedia,,2026-09-09,0,0
NYT,The New York Times Company,Communication Services,Publishing,,2026-09-09,0,0
PARA,Paramount Global,Communication Services,Entertainment,,2026-09-09,0,0
PINS,Pinterest Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
RBLX,Roblox Corporation,Communication Services,Electronic Gaming & Multimedia,,2026-09-09,0,0
RDDT,Reddit Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
ROKU,Roku Inc.,Communication Services,Entertainment,,2026-09-09,0,0
SIRI,Sirius XM Holdings Inc.,Communication Services,Entertainment,,2026-09-09,0,0
SNAP,Snap Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
SPOT,Spotify Technology S.A.,Communication Services,Internet Content & Information,,2026-09-09,0,0
SSTK,Shutterstock Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
T,AT&T Inc.,Communication Services,Telecom Services,,2026-09-09,0,0
TKO,TKO Group Holdings Inc.,Communication Services,Entertainment,,2026-09-09,0,0
TME,Tencent Music Entertainment Group,Communication Services,Internet Content & Information,,2026-09-09,0,0
TMUS,T-Mobile US Inc.,Communication Services,Telecom Services,,2026-09-09,0,0
TOON,Kartoon Studios Inc.,Communication Services,Entertainment,,2026-09-09,0,0
TRVG,trivago N.V.,Communication Services,Internet Content & Information,,2026-09-09,0,0
TTWO,Take-Two Interactive Software Inc.,Communication Services,Electronic Gaming & Multimedia,,2026-09-09,0,0
TWLO,Twilio Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
VOD,Vodafone Group Public Limited Company,Communication Services,Telecom Services,,2026-09-09,0,0
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,,2026-09-09,0,0
WB,Weibo Corporation,Communication Services,Internet Content & Information,,2026-09-09,0,0
WBD,Warner Bros. Discovery Inc.,Communication Services,Entertainment,,2026-09-09,0,0
WMG,Warner Music Group Corp.,Communication Services,Entertainment,,2026-09-09,0,0
Z,Zillow Group Inc.,Communication Services,Internet Content & Information,,2026-09-09,0,0
ABNB,Airbnb Inc.,Consumer Cyclical,Travel Services,,2026-09-09,0,0
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
ATER,Aterian Inc.,Consumer Cyclical,Furnishings & Appliances,,2026-09-09,0,0
AZO,AutoZone Inc.,Consumer Cyclical,Specialty Retail,,2026-09-09,0,0
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
BIRK,Birkenstock Holding Plc,Consumer Cyclical,Footwear & Accessories,,2026-09-09,0,0
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,,2026-09-09,0,0
BROS,Dutch Bros Inc.,Consumer Cyclical,Restaurants,,2026-09-09,0,0
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,,2026-09-09,0,0
BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,,2026-09-09,0,0
BYON,Beyond Inc.,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
BZUN,Baozun Inc.,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,,2026-09-09,0,0
CHPT,ChargePoint Holdings Inc.,Consumer Cyclical,Specialty Retail,,2026-09-09,0,0
CHWY,Chewy Inc.,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
CMG,Chipotle Mexican Grill Inc.,Consumer Cyclical,Restaurants,,2026-09-09,0,0
CPNG,Coupang Inc.,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
CROX,Crocs Inc.,Consumer Cyclical,Footwear & Accessories,,2026-09-09,0,0
CVNA,Carvana Co.,Consumer Cyclical,Auto & Truck Dealerships,,2026-09-09,0,0
CWH,Camping World Holdings Inc.,Consumer Cyclical,Auto & Truck Dealerships,,2026-09-09,0,0
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,,2026-09-09,0,0
DHI,D.R. Horton Inc.,Consumer Cyclical,Residential Construction,,2026-09-09,0,0
DKNG,DraftKings Inc.,Consumer Cyclical,Gambling,,2026-09-09,0,0
EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
ETSY,Etsy Inc.,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
EXPE,Expedia Group Inc.,Consumer Cyclical,Travel Services,,2026-09-09,0,0
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,,2026-09-09,0,0
GLBE,Global-e Online Ltd.,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
GM,General Motors Company,Consumer Cyclical,Auto Manufacturers,,2026-09-09,0,0
GOLF,Acushnet Holdings Corp.,Consumer Cyclical,Leisure,,2026-09-09,0,0
GRBK,Green Brick Partners Inc.,Consumer Cyclical,Residential Construction,,2026-09-09,0,0
GRWG,GrowGeneration Corp.,Consumer Cyclical,Specialty Retail,,2026-09-09,0,0
HAS,Hasbro Inc.,Consumer Cyclical,Leisure,,2026-09-09,0,0
HD,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail,,2026-09-09,0,0
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,,2026-09-09,0,0
HMC,Honda Motor Co. Ltd.,Consumer Cyclical,Auto Manufacturers,,2026-09-09,0,0
HOG,Harley-Davidson Inc.,Consumer Cyclical,Recreational Vehicles,,2026-09-09,0,0
IRBT,iRobot Corporation,Consumer Cyclical,Furnishings & Appliances,,2026-09-09,0,0
JD,JD.com Inc.,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
JMIA,Jumia Technologies AG,Consumer Cyclical,Internet Retail,,2026-09-09,0,0
LAZR,Luminar Technologies Inc.,Consumer Cyclical,Auto Parts,,2026-09-09,0,0
LCID,Lucid Group Inc.,Consumer Cyclical,Auto Manufacturers,,2026-09-09,0,0
LI,Li Auto Inc.,Consumer Cyclical,Auto Manufacturers,,2026-09-09,0,0
LOW,Lowe's Companies Inc.,Consumer Cyclical,Home Improvement Retail,,2026-09-09,0,0
LULU,Lululemon Athletica Inc.,Consumer Cyclical,Apparel Retail,,2026-09-09,0,0
