,cik_str,ticker,title,sector,industry
0,320193,AAPL,Apple Inc.,Technology,Consumer Electronics
1,789019,MSFT,MICROSOFT CORP,Technology,Software—Infrastructure
2,1045810,NVDA,NVIDIA CORP,Technology,Semiconductors
3,1652044,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information
4,1018724,AMZN,AMAZON COM INC,Consumer Cyclical,Internet Retail
5,1326801,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information
6,1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,Technology,Semiconductors
7,1067983,BRK-B,BERKSHIRE HATHAWAY INC,Financial Services,Insurance—Diversified
8,1318605,TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers
9,59478,LLY,ELI LILLY & Co,Healthcare,Drug Manufacturers—General
10,1730168,AVGO,Broadcom Inc.,Technology,Semiconductors
11,353278,NVO,NOVO NORDISK A S,Healthcare,Biotechnology
12,19617,JPM,JPMORGAN CHASE & CO,Financial Services,Banks—Diversified
13,104169,WMT,Walmart Inc.,Consumer Defensive,Discount Stores
14,1403161,V,VISA INC.,Financial Services,Credit Services
16,34088,XOM,EXXON MOBIL CORP,Energy,Oil & Gas Integrated
17,731766,UNH,UNITEDHEALTH GROUP INC,Healthcare,Healthcare Plans
18,937966,ASML,ASML HOLDING NV,Technology,Semiconductor Equipment & Materials
19,1141391,MA,Mastercard Inc,Financial Services,Credit Services
20,909832,COST,COSTCO WHOLESALE CORP /NEW,Consumer Defensive,Discount Stores
21,80424,PG,PROCTER & GAMBLE Co,Consumer Defensive,Household & Personal Products
22,1341439,ORCL,ORACLE CORP,Technology,Software—Infrastructure
23,200406,JNJ,JOHNSON & JOHNSON,Healthcare,Drug Manufacturers—General
24,354950,HD,"HOME DEPOT, INC.",Consumer Cyclical,Home Improvement Retail
25,70858,BAC,BANK OF AMERICA CORP /DE/,Financial Services,Banks—Diversified
26,310158,MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers—General
27,1065280,NFLX,NETFLIX INC,Communication Services,Entertainment
28,1551152,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers—General
29,2488,AMD,ADVANCED MICRO DEVICES INC,Technology,Semiconductors
30,93410,CVX,CHEVRON CORP,Energy,Oil & Gas Integrated
31,1047716,LTMAY,LATAM AIRLINES GROUP S.A.,Industrials,Airlines
32,1094517,TM,TOYOTA MOTOR CORP/,Consumer Cyclical,Auto Manufacturers
33,21344,KO,COCA COLA CO,Consumer Defensive,Beverages—Non-Alcoholic
34,796343,ADBE,ADOBE INC.,Technology,Software—Infrastructure
35,1108524,CRM,"Salesforce, Inc.",Technology,Software—Application
36,901832,AZN,ASTRAZENECA PLC,Healthcare,Drug Manufacturers—General
37,1000184,SAP,SAP SE,Technology,Software—Application
38,804328,QCOM,QUALCOMM INC/DE,Technology,Semiconductors
39,1306965,SHEL,Shell plc,Energy,Oil & Gas Integrated
40,77476,PEP,PEPSICO INC,Consumer Defensive,Beverages—Non-Alcoholic
41,1114448,NVS,NOVARTIS AG,Healthcare,Drug Manufacturers—General
42,1283699,TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services
43,72971,WFC,WELLS FARGO & COMPANY/MN,Financial Services,Banks—Diversified
44,6951,AMAT,APPLIED MATERIALS INC /DE,Technology,Semiconductor Equipment & Materials
45,1707925,LIN,LINDE PLC,Basic Materials,Specialty Chemicals
46,97745,TMO,THERMO FISHER SCIENTIFIC INC.,Healthcare,Diagnostics & Research
47,1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC,Consumer Defensive,Beverages—Brewers
49,1737806,PDD,PDD Holdings Inc.,Consumer Cyclical,Internet Retail
50,1973239,ARM,ARM HOLDINGS PLC /UK,Technology,Semiconductors
51,1467373,ACN,Accenture plc,Technology,Information Technology Services
52,858877,CSCO,"CISCO SYSTEMS, INC.",Technology,Communication Equipment
53,97476,TXN,TEXAS INSTRUMENTS INC,Technology,Semiconductors
54,896878,INTU,INTUIT INC.,Technology,Software—Application
55,1577552,BABA,Alibaba Group Holding Ltd,Consumer Cyclical,Internet Retail
56,40545,GE,GENERAL ELECTRIC CO,Industrials,Aerospace & Defense
57,1744489,DIS,Walt Disney Co,Communication Services,Entertainment
58,313616,DHR,DANAHER CORP /DE/,Healthcare,Diagnostics & Research
59,63908,MCD,MCDONALDS CORP,Consumer Cyclical,Restaurants
60,1800,ABT,ABBOTT LABORATORIES,Healthcare,Medical Devices
61,732712,VZ,VERIZON COMMUNICATIONS INC,Communication Services,Telecom Services
62,4962,AXP,AMERICAN EXPRESS CO,Financial Services,Credit Services
63,318154,AMGN,AMGEN INC,Healthcare,Drug Manufacturers—General
64,895421,MS,MORGAN STANLEY,Financial Services,Capital Markets
65,51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP,Technology,Information Technology Services
66,18230,CAT,CATERPILLAR INC,Industrials,Farm & Heavy Construction Machinery
67,879764,TTE,TotalEnergies SE,Energy,Oil & Gas Integrated
68,1089113,HSBC,HSBC HOLDINGS PLC,Financial Services,Banks—Diversified
69,1413329,PM,Philip Morris International Inc.,Consumer Defensive,Tobacco
70,78003,PFE,PFIZER INC,Healthcare,Drug Manufacturers—General
71,1035267,ISRG,INTUITIVE SURGICAL INC,Healthcare,Medical Instruments & Supplies
72,1144967,HDB,HDFC BANK LTD,Financial Services,Banks—Regional
73,1000275,RY,ROYAL BANK OF CANADA,Financial Services,Banks—Diversified
74,886982,GS,GOLDMAN SACHS GROUP INC,Financial Services,Capital Markets
75,1373715,NOW,"ServiceNow, Inc.",Technology,Software—Application
76,1543151,UBER,"Uber Technologies, Inc",Technology,Software—Application
